NAME,POS,G,A,+/-,PPP,SHP,SOG,HIT,BLK,W,GA,SV,SO,OTL
Jonas Siegenthaler,D,1.818147783385078,13.837433204577087,-1.363250431860119,0.05781654940478127,1.005995822939697,65.94988518507924,89.05208484894021,126.23757363165849,,,,,
Mikael Backlund,C,14.445477142558047,20.963933068433786,-7.807976826452145,3.1740982767578028,2.872297932828147,184.68296285222908,38.794274404370206,37.55658672097192,,,,,
Ryker Evans,D,6.765491732729771,14.31364080133323,-6.392284900941909,1.3892310649038924,0.7371274519367859,60.98197339413947,81.14060840864772,94.2917160136335,,,,,
Niko Mikkola,D,3.2709630635472546,13.128204443764075,2.931647282164725,0.059525389565853036,0.23058081647060674,85.17448143935904,128.37976347355124,101.63892122617541,,,,,
Wyatt Kaiser,D,5.904052704790873,12.748635256364988,-8.387332206300037,0.0778496709798637,0.15598130523781664,82.16475272652958,56.494469538685465,91.21946016179925,,,,,
Theo Lindstein,D,6.746813019780975,13.69094645275882,-0.5067864834517611,0.0858441017827813,0.0820881668154359,82.6163001443696,67.8524738242692,79.910815597361,,,,,
Alex Nedeljkovic,G,,,,,,,,,16.55850707488831,108.9879807164939,942.34469739389,1.1513182732598646,4.61037323127794
Tristan Luneau,D,5.958276311835839,13.469478246811141,-2.5965816610240253,0.47523230250642107,0.0,84.85148766854759,59.3808186574912,81.76390425950049,,,,,
Mavrik Bourque,"C,RW",19.8934908973453,24.182380961478305,-2.4618212228375245,8.086989900036192,0.19653767587211263,149.05800752155156,78.62255451662192,30.348031633492447,,,,,
Cody Ceci,D,2.5891327112947127,13.557192713531883,-2.4749036921496597,0.0181801782691712,0.8377797258158791,65.77496314163432,60.0885970116092,118.87400489890213,,,,,
Erik Cernak,D,2.4318939485262994,13.877928527518959,5.96908227207742,0.08129587078478404,0.815553675086391,63.00081038918064,141.4875070911941,118.9884374771915,,,,,
Anders Lee,LW,18.483237828057973,19.976625670259384,3.818043185099737,5.2384584717326375,0.012372472022182583,187.06795830786825,99.55988646754591,37.97804670381475,,,,,
Joel Edmundson,D,1.6040575937002703,12.999916762942267,0.06261532711231979,0.2027441178087603,0.10420892345493786,79.65214339310545,97.48937773595235,110.1023793677402,,,,,
Ryan Lindgren,D,2.577877566240389,13.276826752036095,-8.980163613692211,0.08835632614947767,0.6470033826508644,55.0055330667477,72.64432717172036,125.77590866339766,,,,,
Timothy Liljegren,D,2.9978186949873615,12.456546504794092,3.0599830935266983,0.1507255952051028,0.3597178455339829,66.65840526507876,68.8842564923414,116.9495220806267,,,,,
Shane Wright,"C,RW",18.209533885348897,23.650151864616493,-5.163561317782497,9.83259393662253,0.022096405091069037,117.61702428183078,64.78307924041312,64.18657910601824,,,,,
Matt Savoie,"C,RW",18.342733584598395,23.129995247632074,4.839067727972504,5.831501893264204,1.3643014989333981,149.4778988464847,29.11940393492811,39.72744405951266,,,,,
Nicolas Hague,D,3.9582072189341826,13.124388436377904,-4.076354648549549,0.1051580507726007,0.6686906398342509,83.75984837005268,95.79429219937859,88.03078943111845,,,,,
Radko Gudas,D,2.0646397171175916,11.464118091890073,3.060617710806488,0.050436623677597,0.1653985176541859,74.1123353382647,181.37203807258936,119.16070600547212,,,,,
Nico Daws,G,,,,,,,,,17.35677228636519,99.04519346912785,866.1534561941064,1.910947218958631,4.410806928408685
Jonathan Marchessault,"LW,RW",16.77997337748311,23.345377119832918,-4.494700246713107,11.26724763673556,0.0016231375599793801,168.8119769303694,82.97348172831974,18.099976878546048,,,,,
Conor Garland,RW,14.857315024602562,23.710230352891493,1.4059991941403525,8.728659346518617,0.23964322063920895,158.28559607822473,54.153722697904364,42.50893422442277,,,,,
Tyler Toffoli,"LW,RW",19.851230653673866,21.106441365717856,-2.199858027472494,7.280045272116434,0.002644572579573062,159.48952178095533,54.99387529213355,30.181904989803453,,,,,
Yegor Chinakhov,"LW,RW",20.563578396572243,21.650107357608757,-0.11605692917590948,5.722994398662491,0.0012996291260149774,151.06548834559763,65.67626370436052,32.96968863101958,,,,,
Andrew Copp,"C,LW",11.909436619851185,30.044521615784962,-0.8544631651452039,9.596661578613498,0.9399887362647904,122.40910522660123,45.223270827803574,60.271361004015034,,,,,
Igor Chernyshov,"LW,RW",19.829781896691042,24.73763790417796,-1.3377648231019266,10.124060582891664,0.004726403377250593,124.80626560012973,55.968853207628804,33.70933770176227,,,,,
Adam Wilsby,D,2.6805392945396633,16.482996192021485,-2.5371800104939197,0.05571270944181152,0.1560668457496082,79.50997974791997,56.358504625225535,74.37231236666528,,,,,
Conor Timmins,D,1.8604125248499523,12.946241479068789,0.4845411057507092,0.024943903209967165,0.18547265513483582,66.01163272391344,62.18184430830687,113.50195710189757,,,,,
Philipp Grubauer,G,,,,,,,,,13.201694471098314,108.8214600506523,945.0326363627624,1.164040452130164,5.44957638222543
Sean Monahan,C,14.83639483356747,25.4890669512699,2.9844919080346832,8.00947702070347,2.333293745092193,127.57282358663517,46.56227682065977,36.894515750222936,,,,,
Sergei Murashov,G,,,,,,,,,17.474122587346915,104.70300547525524,892.669613724994,1.4786903816904975,4.38146935316328
Elias Pettersson (D),D,4.811741628975732,11.643270382144912,-10.920295399624896,0.08524820886439903,0.2270822433914474,68.71504198382509,129.72737479086416,98.52898223367589,,,,,
Tristan Jarry,G,,,,,,,,,20.37968724091601,99.51145495798676,842.313302056884,1.875324841209813,3.655078189771015
Brian Dumoulin,D,2.9381053182626227,14.524516264515082,-1.962794676580934,0.06091693988388036,0.3979880417972638,62.28336581868233,60.35288584942432,97.92597475242577,,,,,
Gabe Perreault,RW,19.35614096180811,25.10902485730057,-0.13126418460709774,9.34058347169231,0.0,121.77611647354574,49.45661334849601,34.77069250847284,,,,,
Ian Cole,D,-0.4616094792557983,12.686983547803543,-6.1822665770892655,0.03283204595300627,0.3973820897680057,34.46729021995194,85.30720941807682,156.4387383633046,,,,,
Frederik Andersen,G,,,,,,,,,20.75822272749883,97.53826386866135,826.6395744058796,2.026076640434273,3.5604443181253096
Taylor Hall,LW,17.37047220297729,26.13554570832318,6.495675666270558,7.569365622175196,0.009091574133869813,139.89385439191517,55.12432695153719,34.08983300432283,,,,,
Nick Jensen,D,1.4509855470167887,16.192217303622527,-3.504425933925051,0.050099797407201586,0.045429793306156624,54.74281937178792,63.62939512353319,103.38134251560814,,,,,
Maveric Lamoureux,D,4.326232984105616,13.229057705051376,1.211400392736485,0.0,0.0,73.65222780318,88.55016544902024,83.9775009603852,,,,,
Adin Hill,G,,,,,,,,,19.7794790497941,93.79641571683145,807.1953549389275,2.3119538392340777,3.805130237551475
Johnathan Kovacevic,D,2.264037465827433,14.455255573544337,0.21272761087571573,0.060453284894825786,0.11293902055345988,66.48840211142226,97.32243344798816,95.21757329961598,,,,,
Josh Norris,C,19.026817177737364,22.010629445040752,1.4250105865471172,11.231524078620211,0.0522070267288564,111.50116718100287,79.39626191004861,41.62499028697001,,,,,
Brandon Carlo,D,0.859402903601648,9.824282464221493,-2.635043929498156,0.040954257717195935,0.46149587861657326,65.42185884787932,88.79131534945168,125.72965799861625,,,,,
Claude Giroux,"C,LW,RW",12.190730494340244,29.14443457212743,3.0960544099705345,11.3668014125143,0.5019379186931406,131.2123988518534,63.542562090968055,29.558563732990002,,,,,
Anthony Mantha,"LW,RW",21.795951827114727,22.077445825453548,1.6691165714480518,7.1347350518445465,0.0,117.9201812300422,52.49792444329088,34.37706084446343,,,,,
Chris Tanev,D,0.3364586526715342,12.330707655246538,1.8096774895575305,0.048555720240050455,0.4195150778213972,34.80420661019174,39.93258240839579,141.19910026175774,,,,,
Yegor Sharangovich,"C,LW,RW",18.63862643302018,18.365296004678797,-9.611678399577144,8.12090977916349,2.352588012716056,150.86375596110616,29.11628245564706,35.624783954372155,,,,,
Jonathan Aspirot,D,3.504274194073034,12.161355661678227,0.14583150619808144,0.08228994042377108,0.11418405845331356,59.072672091313784,98.28893367362437,99.18280615623023,,,,,
Ryan Shea,D,3.385753977820399,15.059864109810071,5.3098685904198355,0.3359814629870646,0.1159632195139556,54.896582552324816,47.22635126756275,84.81571099908386,,,,,
Lawson Crouse,"LW,RW",19.269882067805653,16.76002627529211,1.7258748474611267,2.349026393984583,1.708898758678815,145.97398511352782,200.726984601888,55.829310978034826,,,,,
Nils Lundkvist,D,3.034916071282999,14.072227141906959,5.379065282726301,0.08617815547375952,0.019549064262547714,74.41468652084902,53.27479618877778,71.86671603710788,,,,,
Trevor van Riemsdyk,D,-0.22321811324413807,13.657840136258951,0.07188864769265264,0.08048668252158117,0.26160735785435074,41.84123793541438,34.509138367471664,125.78275114165885,,,,,
Kaapo Kakko,RW,16.50610271040104,28.68959217084056,-5.49205667649258,9.840224915142537,0.006859812101057506,112.78476452859772,51.36624786182393,21.717735476617204,,,,,
Jake Neighbours,"LW,RW",19.22347809558529,22.8798541309702,-0.9469767179576772,9.53898321858192,0.02461603310898129,109.57652902828463,153.45522719163165,43.23323574506193,,,,,
Mackie Samoskevich,RW,15.037502730378204,20.281249451513187,-5.41278464594585,6.4350068491951,0.022723263973740547,159.98746204885822,150.13165185042777,39.386455539671516,,,,,
Anthony Stolarz,G,,,,,,,,,14.596690204174989,81.62883023042299,750.8552822005731,1.3459573703956829,3.35082744895626
Roman Kantserov,RW,18.569095785348647,19.029455790590784,0.009390243902439015,8.466249898668408,0.0,146.43328677650442,91.09811505157903,32.86585365853659,,,,,
Ryan Poehling,C,11.847321471683737,22.37756981717957,-3.196049224788255,0.1504777792686449,3.8751126244765786,100.30718772111244,49.83048848862178,90.09287844328226,,,,,
Troy Terry,RW,15.202895581072836,26.353017219671738,-1.4096001460280116,8.166167057802001,2.38269724630419,131.2942357736771,9.604492422680792,18.524392469547642,,,,,
Parker Wotherspoon,D,1.3981052046909455,15.416857125688837,3.361930764301398,0.06414170085165365,0.6445048833796482,50.97608832032507,114.4510584669968,89.93811340506299,,,,,
Jordan Binnington,G,,,,,,,,,16.146314263086804,104.53855682630606,873.9944276926101,1.4912542584702175,4.71342143422829
Josh Mahura,D,1.3143315102892474,12.876214415954951,-5.259237285136987,0.14466723771646042,0.4822294491862163,59.7053768718888,91.91265334174895,94.65068251034297,,,,,
Ross Colton,"C,LW",14.66683361182777,19.507336856518158,-1.934115531108721,2.754631642749317,0.1665224899047028,174.34090002709513,179.33652848587434,40.15723009479766,,,,,
Noah Cates,C,15.055362753492899,22.51784401461612,1.8303101663528765,3.6263471193417165,0.9007633046525081,114.77093971574187,92.81528616983485,49.32397105674476,,,,,
Marco Kasper,"C,LW",16.421619104710945,18.15621611692773,-1.7530056999497061,5.645672815706283,0.6815941685563646,152.68288327336526,176.7304405261774,51.08213288384428,,,,,
Easton Cowan,LW,16.313441160682828,24.612419811172725,0.8794872531610565,7.467337377708973,0.23097797014333826,122.34471522182238,88.31606447276666,40.45648272389889,,,,,
Thomas Novak,"C,LW",17.181955271679836,23.315707013752974,1.401399221254428,7.699722501631926,0.0062623804747680865,130.39260795090448,20.5173285189149,34.89266696107009,,,,,
Trevor Moore,"LW,RW",15.76679551730249,19.060239712111173,1.0183645669283636,1.856224824294304,1.409578571866088,160.38355713050026,66.20546866993801,37.081306140070815,,,,,
Jeremy Lauzon,D,1.9040231882040974,9.381947608033073,2.200859115566858,0.02957297133045522,0.08916801908021815,71.26886807175154,224.32080082834878,97.00348919743377,,,,,
Olli Maatta,D,1.471076535797897,13.90686573464155,1.9422059992826066,0.058365984510602056,0.041842206366021775,49.21996042614131,35.15022449030492,93.75655203858719,,,,,
Jiri Kulich,C,18.462432457178437,16.240105790307005,0.7112849693456164,2.6421872839758027,0.010027758131414224,137.00628029588782,52.32549290534173,44.64089643469645,,,,,
Elias Salomonsson,D,2.9848811870838303,10.759421910512645,1.0423320415294683,1.2896655008035762,0.16335028085130443,75.66660983418177,91.10547509215904,71.20098055273971,,,,,
Arseny Gritsyuk,"LW,RW",15.110115107326324,21.298291593157536,1.1774822024597715,2.7267574228497486,0.005729020021577483,161.14845414516793,68.94120691802573,23.12503459037483,,,,,
Hunter Brzustewicz,D,3.8367612648288447,12.207726467988262,-5.6999963565902565,3.1064187398330123,0.13593094034361553,66.96328829230636,59.19936322064564,61.430298188559014,,,,,
Dmitry Kulikov,D,2.384973984716754,11.45470651336638,3.173189529356629,0.05820129005785245,0.15813269147556036,65.28700794307942,103.67387242988325,82.0435048203955,,,,,
Henri Jokiharju,D,2.907070258053441,13.152240076648647,-1.3593214493055457,0.5970448374323993,0.12995311315950384,63.72798846690751,59.63136972258715,68.91543001128528,,,,,
Jack Roslovic,"C,RW",18.871713068845434,18.374213651706775,0.11140353492177085,4.297810582518347,0.0032346841873339693,145.54486748437424,44.39218429831731,28.525988484410718,,,,,
Kevin Lankinen,G,,,,,,,,,11.95403571390679,114.7711248982459,949.9012228304795,0.7094860577740145,5.761491071523285
Ridly Greig,"C,LW,RW",14.144441021029904,21.33931846829081,1.6321179214509487,3.6997577988556847,2.3038046529119067,128.6740834895468,111.21536394346707,51.96656036957162,,,,,
Logan Mailloux,D,4.954845245030862,10.044167855322476,-3.5171429039415942,0.8619903640759093,0.05549647281257585,72.69173506431774,81.22603547177988,60.51444573560197,,,,,
